Course No.,Title,Day(s),Time,Professor
ACC1000-01,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,8:00AM- 9:30AM,"Halsey, Robert F"
ACC1000-02,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,10:00AM-11:30AM,"Halsey, Robert F"
ACC1000-03,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,12:00PM- 1:30PM,"Attachot, Weerapat"
ACC1000-04,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,2:00PM- 3:30PM,"Attachot, Weerapat"
ACC1000-05,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,4:00PM- 5:30PM,"Blanchette Proulx, Shay"
ACC1000-06,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,8:00AM- 9:30AM,"Coyle, William H"
ACC1000-07,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,10:00AM-11:30AM,"Halsey, Robert F"
ACC1000-08,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,12:00PM- 1:30PM,"Soybel, Virginia E"
ACC1000-09,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,2:00PM- 3:30PM,"Soybel, Virginia E"
ACC1000-10,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,6:00PM- 7:30PM,"Wilson, Peter R"
ACC3500-01,INTERMEDIATE ACCOUNTING I,MW,10:00AM-11:30AM,"Blanchette Proulx, Shay"
ACC3500-02,INTERMEDIATE ACCOUNTING I,MW,12:00PM- 1:30PM,"Blanchette Proulx, Shay"
ACC3502-01,INTERMEDIATE ACCOUNTING I: FINANCE,TR,10:00AM-11:30AM,"Soybel, Virginia E"
ACC3510-01,FINANCIAL PLANNING & COST CONTROL,T,6:30PM- 9:30PM,"Juras, Paul E"
ACC3546-01,ACCOUNTING ANALYTICS,TR,2:00PM- 3:30PM,"Kokina, Julia"
ACC4520-01,AUDITING,TR,10:00AM-11:30AM,"Coyle, William H"
ANT4605-01,ANTHROPOLOGY OF LAW,TR,8:00AM- 9:30AM,"Bafford, Douglas"
ANT4606-01,MODERN ISRAEL:CONFLICTS IN CONTEXT,MW,4:00PM- 5:30PM,"Dworsky-Rocha, Maya J"
AQM1000-01,FOUNDATIONS OF BUSINESS ANALYTICS,MW,8:00AM- 9:30AM,"Wu, Hongsheng"
AQM1000-02,FOUNDATIONS OF BUSINESS ANALYTICS,MW,8:00AM- 9:30AM,"Ahmadian, Mohsen"
AQM1000-03,FOUNDATIONS OF BUSINESS ANALYTICS,MW,10:00AM-11:30AM,"Ahmadian, Mohsen"
